Welche Durchmesser von Vierkantstiften sind möglich?,"Wir können Türgriffe mit Vierkantstiften folgenden Durchmessern nutzen: 
6mm, 7mm, 8mm, 8.5mm, 9mm, 10mm."
"Passen die Türgriffe auch an historische Türen, die sehr alt sind?","Ja, wir können Schlüssellöcher im Wunschabstand liefern und auch Vierkantstift in unterschiedlichen Durchmessern und Längen liefern."
"Ich habe ein Kastenschloss, passen die Griffe dort auch?","Ja, wir können an der Seite des Kastenschlosses den Hals kürzen. (Aufpreis 12 ?)"
"Gibt es ein Zertifikat über die Schutzklasse, welches ich für die Versicherung benötige?","Da es sich um Manufakturarbeit und Kleinserie handelt, können wir leider keine Zertifikate anbieten."
Machen Sie auch Nachfertigungen?,"Ja, wir können nach Muster Ihre Originale nachfertigen. Das dauert ca. 12 Wochen. Für ein Angebot benötigen wir Fotos der nachzufertigenden Produkte und die benötigte Stückzahl."
Wie groß ist Ihre Firma?,"Wir haben Niederlassungen in Deutschland, Österreich, der Schweiz und Frankreich. Wir machen einen Jahresumsatz von ca. 3 Mio Euro europaweit und haben einen vorrätigen Warenbestand in Höhe von 800.000 Euro."
"Ich kann ein Produkt nicht in den Warenkorb legen / Es funktioniert nicht, wenn ich zur Kasse gehe / bezahlen will.","Dann bitte den Kunden anrufen und das Problem klären, mit ihm gemeinsam besprechen, was genau nicht funktioniert. Ich brauche eine detaillierte Beschreibung, das ist wichtig um künftige Fälle zu vermeiden.

Sinnvollerweise macht man sowas gemeinsam am Bildschirm (Kunde und Du sehen das gleiche) und der Kunde sagt dir, was er sieht oder geklickt hat und/oder sagt dem Kunden, was er wo klicken soll.

Dabei kommt dann entweder eine Fehlermeldung (Buchstabengenau aufschreiben und genau erklären, wann die Meldung kommt (nach Klick auf welches Feld oder nach welcher Eingabe), nicht einfach nur ""es kommt ein Fehler"") 
oder, wahrscheinlicher, der Kunde hat nicht verstanden, was er machen soll.

In diesem Fall notieren, was genau der Kunde nicht verstanden hat, wir können das verbessern, wenn wir es wissen.
Bei technischen Fehlern muss ich wissen, welches Gerät (handy oder PC) oder welchen Webbrowser der Kunde nutzt."
Comment/Order Notizfeld im Auftragsformular,"Dieses Notizfeld ist lediglich für wichtige aber KURZE Kommentare bzgl. Hinweise an den VERSAND. Einträge wie ""da war was kaputt"" oder ""Kunde meldet sich wieder"" etc. sind unpräzise und für den Versand auch nicht notwendig! Falls trotzdem erachtet wird, hier eine Notiz einzutragen, sollte diese (sobald das Thema erledigt ist) auch wieder aus dem Notizfeld gelöscht werden! Ursächlich dient das Order Comment Feld als Versandhinweise!"
Schlüssellochabstand Wohnungstür Deutschland,72 mm
Schlüssellochabstand Wohnungseingangstür Deutschland,72 mm
Schlüssellochabstand WC-Tür Deutschland,78 mm
Vierkant WC-Türen Deutschland ,8x8 mm
Gibt es auch Langschilde ohne Schlüsselloch,"ja, siehe Optionen"
Schlüssellochabstand Wohnungstür Schweiz,78 mm
Schlüssellochabstand Rundzylinder Schweiz,78 mm
Durchmesser Rundzylinder Schweiz,22 mm
Schlüssellochabstand WC-Tür Schweiz,78 mm
Vierkant WC-Türen Schweiz,7 mm
Schlüssellochabstand Wohnungstür Frankreich,70
Schlüssellochabstand Außentür Frankreich,70
Vierkant WC-Türen Frankreich,"6x6 mm, 7x7 mm oder 8x8 mm"
Gibt es für den Kunden Schraubenbohrvorlagen für WG Modelle ?,"Nein. Der Kunde sollte die Schilde anzeichnen. Bohrvorlagen sind bei handgefertigter Ware nicht möglich, weil jedes Schild ein kleines bisschen anders ausfallen kann."
Wie sind die Artikelnummern bei beschlägen zusammengesetzt?,"Türgarnituren und Fensterbeschläge beginnen immer mit der Farbcode: 
A=Antik, B=Brass (Messing poliert), P=Patina, N=Nickel, NM=Nickel Matt, IRB=Iron Black (Eisen schwarz), IRF=Eisen Verzinkt, Aufgerieben (Frehe Oberfläche), IRW=Eisen weiß, BL = Brass Laquered (Messing lackiert).

Danach folgt der Produkttyp: 1=Langschild, 2=Türdrücker, 3=Fenstergriff, 4=Türrosette, 5=Türknauf, 6=(reserviert), 7=Möbel und Schiebetürkram, 8=WC, 9=Klingelplatten

Danach eine zweistellige Ziffernkombination für das Design

Dann eine Versionnummer (Beginnt in der Regel mit 1, neue verbesserte Versionen dann hochgezählt, bzw teilweise verschiedene Bauformen auch mit einzelner Versionsnummer.

Fenstergriffe erhalten eine Suffix mit einem Bindestrich, um die Rosette anzugeben (z.B. ""-81"" für Rosette Nr. 81).

Rosetten haben folgende Suffixe: PZ = Profilzyliner, BB = Buntbart Schlüsselloch, BC = Buntbart mit Cover (Abdeckkläppchen), H18 = 18mm Loch für Drücker oder WC Riegel, RZ = Loch für Schweizer Rundzylinder

Langschilde haben als Suffix das Schlüsselloch und den Schlüsselloch-Abstand. Also z.B. PZ72 für 72mm Abstand zum PZ Schlüsselloch oder WC78 = WC Schlüsselloch in 78 mm Abstand. 

Türdrücker können als Suffix ""R"" oder ""L"" haben, für linke oder rechte versionen und ein ""M"", wenn eine Madenschraube neuer Bauart installiert ist.

Sonder-Artikelnummern, die nicht im System sind gibt es mit folgenden Präfixen: TLO = Top Light Opener (Oberlichöffner), RS = Ruderstange / Espagnollette"
Wie werden Artikelnummern bei Fliesen zusammengesetzt?,"Der erste Buchstabe kennzeichnet die Form: Q=Quadratisch, H=Hexagonal, O=Oktogonal, SR = Sockelfliese rund, SD=Sockelfliese kantig, F=Fischschuppenform, L=Lampionform

Darauf folgt eine Zahl mit der Stärke der Fliese, meist 12 oder 16 (für 12mm oder 16mm)

Als nächstes ein Bindestrich und das Format in Zentimetern. Z.B. ""-20X20"" für 20  mal 20 Zentimeter

Als nächstes ein F und die Anzahl der Farben, z.B. F1 = einfarbig. Bei Mehrfarbigen Mustern kommt auch noch ein Buchstabe dahinter, der die Farbkombination bezeichnet, also z.B. F3B für Dreifarbige in Farbkombination B.

Bei einfarbigen Fliesen folgt nun ein Bindestrich und die Farbnummer, z.B. -2007 für Farbe 2007.
Bei mehrfarbigen Fliesen war die Farbkombination ja schon als Buchstabe gekennzeichnet. Hier folgt nun ein Designcode.

Am Ende steht der Suffix ""-KARTON"" (ganzer Karton) oder ""-MUSTERFLIESE"" für eine einzelne Musterfliese.
"
Wie sind die Artikelnummern von Schrauben?,"Zunächst kommt der Farbcode (wie bei Beschlägen), dann ein Minuszeichen.
Danach die Schraubenart (HS=Holzschraube oder M5 = 5mm metrische Schraube). Als nächstes Bindestrich und die Länge, bzw bei Holzschrauben die Größenangabe."
Gibt es noch andere Artikelnummern?,"Ja, bei einigen Industrieprodukten, wie Fliesenkleber, Imprägnierungsflüssigkeiten, allgemeinem Zubehör oder Oldtimer-Teilen, verwenden wir einen frei definierbaren String, der die Artikelnummer des Herstellers oder den EAN Code des Herstellers enthalten kann. "
Gibt es noch andere Artikelnummern?,"Ja, bei einigen Industrieprodukten, wie Fliesenkleber, Imprägnierungsflüssigkeiten, allgemeinem Zubehör oder Oldtimer-Teilen, verwenden wir einen frei definierbaren String, der die Artikelnummer des Herstellers oder den EAN Code des Herstellers enthalten kann. "
